feature_code,year,measurement,units,value,alcohol_condition,hospital_activity,type_of_hospital,hb_assign
S12000008,2012/2013,ratio,"stays per 100,000 population",81.5,Unspecified,stays,general acute hospital,S08000015
S12000017,2018/2019,ratio,"stays per 100,000 population",73,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000017,2009/2010,ratio,"stays per 100,000 population",87.6,Withdrawal state,stays,general acute hospital,S08000022
S12000008,2017/2018,ratio,"stays per 100,000 population",192.9,Acute Intoxication,stays,general acute hospital,S08000015
S12000017,2017/2018,ratio,"stays per 100,000 population",86.1,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000008,2012/2013,ratio,"stays per 100,000 population",83,Withdrawal state,stays,general acute hospital,S08000015
S12000017,2012/2013,ratio,"stays per 100,000 population",128.2,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000008,2016/2017,ratio,"stays per 100,000 population",200.9,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2013/2014,ratio,"stays per 100,000 population",83.6,Withdrawal state,stays,general acute hospital,S08000015
S12000017,2010/2011,ratio,"stays per 100,000 population",154.7,Acute Intoxication,stays,general acute hospital,S08000022
S12000017,2012/2013,ratio,"stays per 100,000 population",83.6,Withdrawal state,stays,general acute hospital,S08000022
S12000017,2009/2010,ratio,"stays per 100,000 population",177.8,Acute Intoxication,stays,general acute hospital,S08000022
S12000017,2017/2018,ratio,"stays per 100,000 population",86.4,Withdrawal state,stays,general acute hospital,S08000022
S12000008,2018/2019,ratio,"stays per 100,000 population",121,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2009/2010,ratio,"stays per 100,000 population",91.7,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000017,2009/2010,ratio,"stays per 100,000 population",297,Harmful Use,stays,general acute hospital,S08000022
S12000017,2015/2016,ratio,"stays per 100,000 population",249.5,Harmful Use,stays,general acute hospital,S08000022
S12000017,2014/2015,ratio,"stays per 100,000 population",239.9,Harmful Use,stays,general acute hospital,S08000022
S12000017,2009/2010,ratio,"stays per 100,000 population",131.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000008,2011/2012,ratio,"stays per 100,000 population",53.6,Unspecified,stays,general acute hospital,S08000015
S12000017,2012/2013,ratio,"stays per 100,000 population",239.7,Harmful Use,stays,general acute hospital,S08000022
S12000017,2016/2017,ratio,"stays per 100,000 population",229.8,Harmful Use,stays,general acute hospital,S08000022
S12000017,2010/2011,ratio,"stays per 100,000 population",280.9,Harmful Use,stays,general acute hospital,S08000022
S12000017,2013/2014,ratio,"stays per 100,000 population",244.8,Harmful Use,stays,general acute hospital,S08000022
S12000017,2013/2014,ratio,"stays per 100,000 population",114.3,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000017,2010/2011,ratio,"stays per 100,000 population",117.7,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000017,2015/2016,ratio,"stays per 100,000 population",38,Unspecified,stays,general acute hospital,S08000022
S12000017,2017/2018,ratio,"stays per 100,000 population",33.3,Unspecified,stays,general acute hospital,S08000022
S12000017,2012/2013,ratio,"stays per 100,000 population",34,Unspecified,stays,general acute hospital,S08000022
S12000017,2015/2016,ratio,"stays per 100,000 population",103.7,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000017,2016/2017,ratio,"stays per 100,000 population",101.1,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000017,2014/2015,ratio,"stays per 100,000 population",107.2,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000017,2011/2012,ratio,"stays per 100,000 population",113.6,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000017,2015/2016,ratio,"stays per 100,000 population",119.1,Acute Intoxication,stays,general acute hospital,S08000022
S12000017,2017/2018,ratio,"stays per 100,000 population",113,Acute Intoxication,stays,general acute hospital,S08000022
S12000017,2010/2011,ratio,"stays per 100,000 population",73.7,Withdrawal state,stays,general acute hospital,S08000022
S12000010,2013/2014,ratio,"stays per 100,000 population",80,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000010,2010/2011,ratio,"stays per 100,000 population",64.9,Acute Intoxication,stays,general acute hospital,S08000024
S12000010,2014/2015,ratio,"stays per 100,000 population",32.3,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000017,2013/2014,ratio,"stays per 100,000 population",84.7,Withdrawal state,stays,general acute hospital,S08000022
S12000017,2011/2012,ratio,"stays per 100,000 population",28,Unspecified,stays,general acute hospital,S08000022
S12000010,2015/2016,ratio,"stays per 100,000 population",24.8,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000010,2016/2017,ratio,"stays per 100,000 population",45.8,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000017,2018/2019,ratio,"stays per 100,000 population",98.2,Withdrawal state,stays,general acute hospital,S08000022
S12000017,2015/2016,ratio,"stays per 100,000 population",50.9,Cirrhosis,stays,general acute hospital,S08000022
S12000017,2012/2013,ratio,"stays per 100,000 population",52.5,Cirrhosis,stays,general acute hospital,S08000022
S12000017,2014/2015,ratio,"stays per 100,000 population",26.9,Unspecified,stays,general acute hospital,S08000022
S12000010,2012/2013,ratio,"stays per 100,000 population",28.2,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000017,2013/2014,ratio,"stays per 100,000 population",34.1,Cirrhosis,stays,general acute hospital,S08000022
S12000010,2015/2016,ratio,"stays per 100,000 population",62.6,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000010,2018/2019,ratio,"stays per 100,000 population",92.9,Harmful Use,stays,general acute hospital,S08000024
S12000008,2018/2019,ratio,"stays per 100,000 population",115.9,Withdrawal state,stays,general acute hospital,S08000015
S12000017,2009/2010,ratio,"stays per 100,000 population",48.2,Cirrhosis,stays,general acute hospital,S08000022
S12000017,2016/2017,ratio,"stays per 100,000 population",94.2,Withdrawal state,stays,general acute hospital,S08000022
S12000017,2014/2015,ratio,"stays per 100,000 population",85.8,Withdrawal state,stays,general acute hospital,S08000022
S12000017,2011/2012,ratio,"stays per 100,000 population",89.8,Withdrawal state,stays,general acute hospital,S08000022
S12000008,2016/2017,ratio,"stays per 100,000 population",66.8,Unspecified,stays,general acute hospital,S08000015
S12000017,2015/2016,ratio,"stays per 100,000 population",104.7,Withdrawal state,stays,general acute hospital,S08000022
S12000017,2011/2012,ratio,"stays per 100,000 population",40.6,Cirrhosis,stays,general acute hospital,S08000022
S12000017,2014/2015,ratio,"stays per 100,000 population",48.4,Cirrhosis,stays,general acute hospital,S08000022
S12000017,2018/2019,ratio,"stays per 100,000 population",69.6,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000017,2018/2019,ratio,"stays per 100,000 population",124.3,Acute Intoxication,stays,general acute hospital,S08000022
S12000017,2018/2019,ratio,"stays per 100,000 population",51.2,Cirrhosis,stays,general acute hospital,S08000022
S12000017,2010/2011,ratio,"stays per 100,000 population",47.5,Cirrhosis,stays,general acute hospital,S08000022
S12000017,2016/2017,ratio,"stays per 100,000 population",44.4,Cirrhosis,stays,general acute hospital,S08000022
S12000017,2017/2018,ratio,"stays per 100,000 population",47.8,Cirrhosis,stays,general acute hospital,S08000022
S12000018,2017/2018,ratio,"stays per 100,000 population",234.3,Withdrawal state,stays,general acute hospital,S08000031
S12000008,2014/2015,ratio,"stays per 100,000 population",186.8,Acute Intoxication,stays,general acute hospital,S08000015
S12000018,2013/2014,ratio,"stays per 100,000 population",103.8,Unspecified,stays,general acute hospital,S08000031
S12000018,2012/2013,ratio,"stays per 100,000 population",109.8,Withdrawal state,stays,general acute hospital,S08000031
S12000018,2009/2010,ratio,"stays per 100,000 population",329.4,Acute Intoxication,stays,general acute hospital,S08000031
S12000018,2018/2019,ratio,"stays per 100,000 population",67.3,Alcohol Dependence syndrome,stays,general acute hospital,S08000031
S12000018,2009/2010,ratio,"stays per 100,000 population",107.5,Toxic Effects of Alcohol,stays,general acute hospital,S08000031
S12000018,2010/2011,ratio,"stays per 100,000 population",326.2,Acute Intoxication,stays,general acute hospital,S08000031
S12000018,2012/2013,ratio,"stays per 100,000 population",28.7,Cirrhosis,stays,general acute hospital,S08000031
S12000017,2014/2015,ratio,"stays per 100,000 population",62.3,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000017,2016/2017,ratio,"stays per 100,000 population",110.6,Acute Intoxication,stays,general acute hospital,S08000022
S12000017,2010/2011,ratio,"stays per 100,000 population",74.7,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000017,2015/2016,ratio,"stays per 100,000 population",66.1,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000017,2013/2014,ratio,"stays per 100,000 population",78.1,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000017,2014/2015,ratio,"stays per 100,000 population",146.5,Acute Intoxication,stays,general acute hospital,S08000022
S12000017,2012/2013,ratio,"stays per 100,000 population",84.7,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000017,2017/2018,ratio,"stays per 100,000 population",56.3,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000018,2015/2016,ratio,"stays per 100,000 population",212.3,Withdrawal state,stays,general acute hospital,S08000031
S12000018,2014/2015,ratio,"stays per 100,000 population",148.8,Withdrawal state,stays,general acute hospital,S08000031
S12000018,2012/2013,ratio,"stays per 100,000 population",84,Toxic Effects of Alcohol,stays,general acute hospital,S08000031
S12000018,2016/2017,ratio,"stays per 100,000 population",196.2,Withdrawal state,stays,general acute hospital,S08000031
S12000018,2015/2016,ratio,"stays per 100,000 population",87.5,Toxic Effects of Alcohol,stays,general acute hospital,S08000031
S12000018,2009/2010,ratio,"stays per 100,000 population",73.6,Withdrawal state,stays,general acute hospital,S08000031
S12000018,2011/2012,ratio,"stays per 100,000 population",130.9,Toxic Effects of Alcohol,stays,general acute hospital,S08000031
S12000018,2014/2015,ratio,"stays per 100,000 population",111.4,Toxic Effects of Alcohol,stays,general acute hospital,S08000031
S12000008,2017/2018,ratio,"stays per 100,000 population",86.8,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2017/2018,ratio,"stays per 100,000 population",98.5,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2010/2011,ratio,"stays per 100,000 population",90.2,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2011/2012,ratio,"stays per 100,000 population",97.6,Withdrawal state,stays,general acute hospital,S08000015
S12000018,2018/2019,ratio,"stays per 100,000 population",220.3,Withdrawal state,stays,general acute hospital,S08000031
S12000018,2011/2012,ratio,"stays per 100,000 population",104.6,Unspecified,stays,general acute hospital,S08000031
S12000018,2010/2011,ratio,"stays per 100,000 population",129.6,Withdrawal state,stays,general acute hospital,S08000031
S12000018,2018/2019,ratio,"stays per 100,000 population",53.2,Unspecified,stays,general acute hospital,S08000031
S12000008,2014/2015,ratio,"stays per 100,000 population",95,Withdrawal state,stays,general acute hospital,S08000015
S12000018,2018/2019,ratio,"stays per 100,000 population",95.9,Toxic Effects of Alcohol,stays,general acute hospital,S08000031
S12000008,2014/2015,ratio,"stays per 100,000 population",99.6,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000017,2018/2019,ratio,"stays per 100,000 population",31.3,Unspecified,stays,general acute hospital,S08000022
S12000008,2010/2011,ratio,"stays per 100,000 population",288.6,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2010/2011,ratio,"stays per 100,000 population",83.1,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000017,2012/2013,ratio,"stays per 100,000 population",170.3,Acute Intoxication,stays,general acute hospital,S08000022
S12000017,2016/2017,ratio,"stays per 100,000 population",36.5,Unspecified,stays,general acute hospital,S08000022
S12000017,2009/2010,ratio,"stays per 100,000 population",41,Unspecified,stays,general acute hospital,S08000022
S12000017,2013/2014,ratio,"stays per 100,000 population",173.4,Acute Intoxication,stays,general acute hospital,S08000022
S12000017,2010/2011,ratio,"stays per 100,000 population",41.5,Unspecified,stays,general acute hospital,S08000022
S12000008,2016/2017,ratio,"stays per 100,000 population",101.6,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000017,2009/2010,ratio,"stays per 100,000 population",92,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000017,2018/2019,ratio,"stays per 100,000 population",266.3,Harmful Use,stays,general acute hospital,S08000022
S12000017,2011/2012,ratio,"stays per 100,000 population",186.3,Acute Intoxication,stays,general acute hospital,S08000022
S12000017,2016/2017,ratio,"stays per 100,000 population",50.1,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000008,2015/2016,ratio,"stays per 100,000 population",94.8,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000017,2011/2012,ratio,"stays per 100,000 population",83.1,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000008,2015/2016,ratio,"stays per 100,000 population",176.2,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2011/2012,ratio,"stays per 100,000 population",135.3,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2011/2012,ratio,"stays per 100,000 population",306.4,Acute Intoxication,stays,general acute hospital,S08000015
S12000017,2011/2012,ratio,"stays per 100,000 population",224.7,Harmful Use,stays,general acute hospital,S08000022
S12000017,2017/2018,ratio,"stays per 100,000 population",234.2,Harmful Use,stays,general acute hospital,S08000022
S12000008,2009/2010,ratio,"stays per 100,000 population",247.8,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2015/2016,ratio,"stays per 100,000 population",95.6,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2012/2013,ratio,"stays per 100,000 population",259,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2016/2017,ratio,"stays per 100,000 population",125.1,Withdrawal state,stays,general acute hospital,S08000015
S12000017,2013/2014,ratio,"stays per 100,000 population",24.7,Unspecified,stays,general acute hospital,S08000022
S12000008,2013/2014,ratio,"stays per 100,000 population",184.8,Acute Intoxication,stays,general acute hospital,S08000015
S12000035,2016/2017,ratio,"stays per 100,000 population",50.4,Unspecified,stays,general acute hospital,S08000022
S12000035,2014/2015,ratio,"stays per 100,000 population",53.1,Unspecified,stays,general acute hospital,S08000022
S12000035,2009/2010,ratio,"stays per 100,000 population",73.5,Withdrawal state,stays,general acute hospital,S08000022
S12000035,2009/2010,ratio,"stays per 100,000 population",67.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000035,2015/2016,ratio,"stays per 100,000 population",129.6,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000040,2018/2019,ratio,"stays per 100,000 population",164.6,Harmful Use,stays,general acute hospital,S08000024
S12000035,2016/2017,ratio,"stays per 100,000 population",149.2,Harmful Use,stays,general acute hospital,S08000022
S12000035,2017/2018,ratio,"stays per 100,000 population",131.8,Harmful Use,stays,general acute hospital,S08000022
S12000035,2013/2014,ratio,"stays per 100,000 population",160.4,Harmful Use,stays,general acute hospital,S08000022
S12000035,2013/2014,ratio,"stays per 100,000 population",90.7,Withdrawal state,stays,general acute hospital,S08000022
S12000035,2014/2015,ratio,"stays per 100,000 population",71.8,Withdrawal state,stays,general acute hospital,S08000022
S12000035,2014/2015,ratio,"stays per 100,000 population",199.8,Harmful Use,stays,general acute hospital,S08000022
S12000035,2009/2010,ratio,"stays per 100,000 population",28.1,Cirrhosis,stays,general acute hospital,S08000022
S12000035,2011/2012,ratio,"stays per 100,000 population",45.1,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000035,2009/2010,ratio,"stays per 100,000 population",319.6,Harmful Use,stays,general acute hospital,S08000022
S12000035,2017/2018,ratio,"stays per 100,000 population",118,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000035,2009/2010,ratio,"stays per 100,000 population",24.5,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000040,2011/2012,ratio,"stays per 100,000 population",112,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000035,2011/2012,ratio,"stays per 100,000 population",85.3,Withdrawal state,stays,general acute hospital,S08000022
S12000040,2009/2010,ratio,"stays per 100,000 population",90.1,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000035,2012/2013,ratio,"stays per 100,000 population",50,Cirrhosis,stays,general acute hospital,S08000022
S12000035,2017/2018,ratio,"stays per 100,000 population",98.3,Withdrawal state,stays,general acute hospital,S08000022
S12000040,2014/2015,ratio,"stays per 100,000 population",63.6,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000035,2015/2016,ratio,"stays per 100,000 population",167.1,Harmful Use,stays,general acute hospital,S08000022
S12000035,2010/2011,ratio,"stays per 100,000 population",90.7,Withdrawal state,stays,general acute hospital,S08000022
S12000040,2012/2013,ratio,"stays per 100,000 population",85.4,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2010/2011,ratio,"stays per 100,000 population",79.8,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000035,2013/2014,ratio,"stays per 100,000 population",163.8,Acute Intoxication,stays,general acute hospital,S08000022
S12000035,2016/2017,ratio,"stays per 100,000 population",137.4,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000035,2011/2012,ratio,"stays per 100,000 population",111.3,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000040,2017/2018,ratio,"stays per 100,000 population",52.2,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000035,2014/2015,ratio,"stays per 100,000 population",148.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000035,2013/2014,ratio,"stays per 100,000 population",138.5,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000035,2010/2011,ratio,"stays per 100,000 population",83.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000035,2018/2019,ratio,"stays per 100,000 population",83.8,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000035,2012/2013,ratio,"stays per 100,000 population",110.6,Alcohol Dependence syndrome,stays,general acute hospital,S08000022
S12000035,2012/2013,ratio,"stays per 100,000 population",170.3,Acute Intoxication,stays,general acute hospital,S08000022
S12000035,2010/2011,ratio,"stays per 100,000 population",267.3,Harmful Use,stays,general acute hospital,S08000022
S12000040,2009/2010,ratio,"stays per 100,000 population",80.3,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000035,2014/2015,ratio,"stays per 100,000 population",229.6,Acute Intoxication,stays,general acute hospital,S08000022
S12000035,2012/2013,ratio,"stays per 100,000 population",60.8,Withdrawal state,stays,general acute hospital,S08000022
S12000040,2014/2015,ratio,"stays per 100,000 population",79.8,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000035,2015/2016,ratio,"stays per 100,000 population",209.6,Acute Intoxication,stays,general acute hospital,S08000022
S12000040,2015/2016,ratio,"stays per 100,000 population",68.8,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000040,2012/2013,ratio,"stays per 100,000 population",138.2,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000035,2011/2012,ratio,"stays per 100,000 population",257.1,Acute Intoxication,stays,general acute hospital,S08000022
S12000040,2015/2016,ratio,"stays per 100,000 population",238.1,Acute Intoxication,stays,general acute hospital,S08000024
S12000040,2013/2014,ratio,"stays per 100,000 population",217.5,Acute Intoxication,stays,general acute hospital,S08000024
S12000040,2013/2014,ratio,"stays per 100,000 population",43,Unspecified,stays,general acute hospital,S08000024
S12000035,2010/2011,ratio,"stays per 100,000 population",56.5,Unspecified,stays,general acute hospital,S08000022
S12000035,2018/2019,ratio,"stays per 100,000 population",238.8,Acute Intoxication,stays,general acute hospital,S08000022
S12000035,2010/2011,ratio,"stays per 100,000 population",232.6,Acute Intoxication,stays,general acute hospital,S08000022
S12000040,2013/2014,ratio,"stays per 100,000 population",76.6,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000040,2012/2013,ratio,"stays per 100,000 population",47.4,Unspecified,stays,general acute hospital,S08000024
S12000035,2013/2014,ratio,"stays per 100,000 population",31.3,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000040,2016/2017,ratio,"stays per 100,000 population",85.2,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000040,2016/2017,ratio,"stays per 100,000 population",66.2,Withdrawal state,stays,general acute hospital,S08000024
S12000040,2018/2019,ratio,"stays per 100,000 population",47.9,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2018/2019,ratio,"stays per 100,000 population",68.9,Withdrawal state,stays,general acute hospital,S08000024
S12000035,2017/2018,ratio,"stays per 100,000 population",213.2,Acute Intoxication,stays,general acute hospital,S08000022
S12000035,2016/2017,ratio,"stays per 100,000 population",202.9,Acute Intoxication,stays,general acute hospital,S08000022
S12000035,2015/2016,ratio,"stays per 100,000 population",83,Withdrawal state,stays,general acute hospital,S08000022
S12000035,2009/2010,ratio,"stays per 100,000 population",265.1,Acute Intoxication,stays,general acute hospital,S08000022
S12000035,2016/2017,ratio,"stays per 100,000 population",119.9,Withdrawal state,stays,general acute hospital,S08000022
S12000035,2018/2019,ratio,"stays per 100,000 population",18.3,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000036,2012/2013,ratio,"stays per 100,000 population",117.2,Acute Intoxication,stays,general acute hospital,S08000024
S12000040,2018/2019,ratio,"stays per 100,000 population",210.4,Acute Intoxication,stays,general acute hospital,S08000024
S12000040,2012/2013,ratio,"stays per 100,000 population",56.3,Cirrhosis,stays,general acute hospital,S08000024
S12000040,2012/2013,ratio,"stays per 100,000 population",231.1,Harmful Use,stays,general acute hospital,S08000024
S12000040,2016/2017,ratio,"stays per 100,000 population",182.2,Harmful Use,stays,general acute hospital,S08000024
S12000036,2015/2016,ratio,"stays per 100,000 population",48.4,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000036,2010/2011,ratio,"stays per 100,000 population",79.1,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000036,2014/2015,ratio,"stays per 100,000 population",58.4,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000036,2009/2010,ratio,"stays per 100,000 population",79.6,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000040,2010/2011,ratio,"stays per 100,000 population",42.3,Cirrhosis,stays,general acute hospital,S08000024
S12000036,2016/2017,ratio,"stays per 100,000 population",93.8,Acute Intoxication,stays,general acute hospital,S08000024
S12000036,2017/2018,ratio,"stays per 100,000 population",90.2,Acute Intoxication,stays,general acute hospital,S08000024
S12000036,2011/2012,ratio,"stays per 100,000 population",108.2,Acute Intoxication,stays,general acute hospital,S08000024
S12000036,2012/2013,ratio,"stays per 100,000 population",41.5,Unspecified,stays,general acute hospital,S08000024
S12000036,2010/2011,ratio,"stays per 100,000 population",64.1,Withdrawal state,stays,general acute hospital,S08000024
S12000036,2016/2017,ratio,"stays per 100,000 population",29.5,Unspecified,stays,general acute hospital,S08000024
S12000036,2013/2014,ratio,"stays per 100,000 population",136.2,Acute Intoxication,stays,general acute hospital,S08000024
S12000036,2011/2012,ratio,"stays per 100,000 population",61.2,Unspecified,stays,general acute hospital,S08000024
S12000036,2015/2016,ratio,"stays per 100,000 population",24.5,Unspecified,stays,general acute hospital,S08000024
S12000036,2018/2019,ratio,"stays per 100,000 population",84.8,Withdrawal state,stays,general acute hospital,S08000024
S12000040,2010/2011,ratio,"stays per 100,000 population",276.8,Harmful Use,stays,general acute hospital,S08000024
S12000036,2009/2010,ratio,"stays per 100,000 population",85.1,Acute Intoxication,stays,general acute hospital,S08000024
S12000040,2009/2010,ratio,"stays per 100,000 population",31.5,Withdrawal state,stays,general acute hospital,S08000024
S12000036,2017/2018,ratio,"stays per 100,000 population",80.4,Withdrawal state,stays,general acute hospital,S08000024
S12000036,2017/2018,ratio,"stays per 100,000 population",27.3,Unspecified,stays,general acute hospital,S08000024
S12000036,2010/2011,ratio,"stays per 100,000 population",80.7,Cirrhosis,stays,general acute hospital,S08000024
S12000036,2009/2010,ratio,"stays per 100,000 population",57.5,Cirrhosis,stays,general acute hospital,S08000024
S12000040,2011/2012,ratio,"stays per 100,000 population",52.7,Withdrawal state,stays,general acute hospital,S08000024
S12000040,2010/2011,ratio,"stays per 100,000 population",40.5,Withdrawal state,stays,general acute hospital,S08000024
S12000035,2012/2013,ratio,"stays per 100,000 population",195.1,Harmful Use,stays,general acute hospital,S08000022
S12000040,2015/2016,ratio,"stays per 100,000 population",57.2,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2013/2014,ratio,"stays per 100,000 population",73.9,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2016/2017,ratio,"stays per 100,000 population",50.7,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000035,2015/2016,ratio,"stays per 100,000 population",20.3,Toxic Effects of Alcohol,stays,general acute hospital,S08000022
S12000035,2011/2012,ratio,"stays per 100,000 population",264.1,Harmful Use,stays,general acute hospital,S08000022
S12000035,2011/2012,ratio,"stays per 100,000 population",17.6,Cirrhosis,stays,general acute hospital,S08000022
S12000040,2013/2014,ratio,"stays per 100,000 population",47.5,Cirrhosis,stays,general acute hospital,S08000024
S12000036,2012/2013,ratio,"stays per 100,000 population",78.7,Withdrawal state,stays,general acute hospital,S08000024
S12000036,2016/2017,ratio,"stays per 100,000 population",91.4,Withdrawal state,stays,general acute hospital,S08000024
S12000036,2010/2011,ratio,"stays per 100,000 population",96.6,Acute Intoxication,stays,general acute hospital,S08000024
S12000036,2014/2015,ratio,"stays per 100,000 population",90.8,Withdrawal state,stays,general acute hospital,S08000024
S12000040,2017/2018,ratio,"stays per 100,000 population",164.2,Harmful Use,stays,general acute hospital,S08000024
S12000040,2011/2012,ratio,"stays per 100,000 population",273.5,Harmful Use,stays,general acute hospital,S08000024
S12000040,2018/2019,ratio,"stays per 100,000 population",63.1,Cirrhosis,stays,general acute hospital,S08000024
S12000040,2015/2016,ratio,"stays per 100,000 population",61,Cirrhosis,stays,general acute hospital,S08000024
S12000040,2014/2015,ratio,"stays per 100,000 population",55.3,Cirrhosis,stays,general acute hospital,S08000024
S12000036,2015/2016,ratio,"stays per 100,000 population",84.8,Withdrawal state,stays,general acute hospital,S08000024
S12000036,2009/2010,ratio,"stays per 100,000 population",59,Withdrawal state,stays,general acute hospital,S08000024
S12000036,2013/2014,ratio,"stays per 100,000 population",93.3,Withdrawal state,stays,general acute hospital,S08000024
S12000036,2011/2012,ratio,"stays per 100,000 population",72.6,Withdrawal state,stays,general acute hospital,S08000024
S12000036,2018/2019,ratio,"stays per 100,000 population",41.3,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000040,2014/2015,ratio,"stays per 100,000 population",56.4,Withdrawal state,stays,general acute hospital,S08000024
S12000040,2015/2016,ratio,"stays per 100,000 population",57.6,Withdrawal state,stays,general acute hospital,S08000024
S12000036,2017/2018,ratio,"stays per 100,000 population",47.1,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000036,2012/2013,ratio,"stays per 100,000 population",68,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000036,2013/2014,ratio,"stays per 100,000 population",69.5,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000036,2016/2017,ratio,"stays per 100,000 population",42.1,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000036,2011/2012,ratio,"stays per 100,000 population",73.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000034,2012/2013,ratio,"stays per 100,000 population",58.8,Acute Intoxication,stays,general acute hospital,S08000020
S12000040,2010/2011,ratio,"stays per 100,000 population",62.2,Unspecified,stays,general acute hospital,S08000024
S12000040,2017/2018,ratio,"stays per 100,000 population",70.4,Withdrawal state,stays,general acute hospital,S08000024
S12000040,2009/2010,ratio,"stays per 100,000 population",43.9,Unspecified,stays,general acute hospital,S08000024
